"","County","DistrictName","TotalTeacherCount","TotalStudentCount","TeacherToStudentRatio","StudentToTeacherRatio","COUNTYFP","fips","COUNTYN","COUNTYNS","COUNTYNS_TIGER","GEOID_TIGER","GEOID_AFF","mean(StudentToTeacherRatio)"
"1","Grays Harbor","Aberdeen School District",226,3233,0.0699,14.30531,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"2","Lewis","Adna School District",62,588,0.10544,9.48387,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"3","Lincoln","Almira School District",11,119,0.09244,10.81818,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"4","Skagit","Anacortes School District",157,2582,0.06081,16.44586,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"5","Snohomish","Arlington School District",330,5377,0.06137,16.29394,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"6","Asotin","Asotin-Anatone School District",43,580,0.07414,13.48837,3,53003,2,1533502,1533502,53003,"0500000US53003",15.56461
"7","King","Auburn School District",1120,16850,0.06647,15.04464,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"8","Kitsap","Bainbridge Island School District",236,3595,0.06565,15.23305,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"9","Clark","Battle Ground School District",794,11721,0.06774,14.76196,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"10","King","Bellevue School District",1280,20135,0.06357,15.73047,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"11","Whatcom","Bellingham School District",848,11375,0.07455,13.41392,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"12","Adams","Benge School District",2,18,0.11111,9,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"13","Pierce","Bethel School District",1189,19703,0.06035,16.57107,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"14","Klickitat","Bickleton School District",13,40,0.325,3.07692,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"15","Whatcom","Blaine School District",146,2177,0.06706,14.91096,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"16","Lewis","Boistfort School District",8,90,0.08889,11.25,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"17","Kitsap","Bremerton School District",351,4474,0.07845,12.74644,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"18","Okanogan","Brewster School District",55,948,0.05802,17.23636,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"19","Douglas","Bridgeport School District",48,772,0.06218,16.08333,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"20","Jefferson","Brinnon School District",6,75,0.08,12.5,31,53031,16,1531936,1531936,53031,"0500000US53031",12.602322
"21","Skagit","Burlington-Edison School District",233,3301,0.07058,14.16738,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"22","Clark","Camas School District",458,7058,0.06489,15.41048,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"23","Clallam","Cape Flattery School District",57,513,0.11111,9,9,53009,5,1531341,1531341,53009,"0500000US53009",12.328024
"24","Pierce","Carbonado School District",12,189,0.06349,15.75,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"25","Chelan","Cascade School District",84,1143,0.07349,13.60714,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"26","Chelan","CASHMERE SCHOOL DISTRICT",103,1565,0.06581,15.19417,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"27","Cowlitz","Castle Rock School District",84,1333,0.06302,15.86905,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"28","Klickitat","Centerville School District",6,85,0.07059,14.16667,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"29","Kitsap","Central Kitsap School District",622,11034,0.05637,17.73955,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"30","Spokane","Central Valley School District",884,13973,0.06326,15.80656,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"31","Lewis","Centralia School District",190,3339,0.0569,17.57368,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"32","Lewis","Chehalis School District",188,3062,0.0614,16.28723,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"33","Spokane","Cheney School District",336,4966,0.06766,14.77976,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"34","Stevens","Chewelah School District",47,690,0.06812,14.68085,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"35","Jefferson","Chimacum School District",59,717,0.08229,12.15254,31,53031,16,1531936,1531936,53031,"0500000US53031",12.602322
"36","Asotin","Clarkston School District",142,2505,0.05669,17.64085,3,53003,2,1533502,1533502,53003,"0500000US53003",15.56461
"37","Kittitas","Cle Elum-Roslyn School District",84,816,0.10294,9.71429,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"38","Pierce","Clover Park School District",785,12108,0.06483,15.4242,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"39","Whitman","Colfax School District",38,482,0.07884,12.68421,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"40","Walla Walla","College Place School District",99,1596,0.06203,16.12121,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"41","Whitman","Colton School District",25,156,0.16026,6.24,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"42","Stevens","Columbia (Stevens) School District",15,106,0.14151,7.06667,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"43","Walla Walla","Columbia (Walla Walla) School District",49,716,0.06844,14.61224,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"44","Stevens","Colville School District",107,1562,0.0685,14.59813,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"45","Skagit","Concrete School District",36,491,0.07332,13.63889,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"46","Skagit","Conway School District",25,446,0.05605,17.84,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"47","Grays Harbor","Cosmopolis School District",14,168,0.08333,12,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"48","Grant","Coulee-Hartline School District",19,168,0.1131,8.84211,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"49","Island","Coupeville School District",56,963,0.05815,17.19643,29,53029,15,1513272,1513272,53029,"0500000US53029",14.63552
"50","Clallam","Crescent School District",37,332,0.11145,8.97297,9,53009,5,1531341,1531341,53009,"0500000US53009",12.328024
"51","Lincoln","Creston School District",22,79,0.27848,3.59091,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"52","Ferry","Curlew School District",20,267,0.07491,13.35,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"53","Pend Oreille","Cusick School District",23,282,0.08156,12.26087,51,53051,26,1529157,1529157,53051,"0500000US53051",11.7826533333333
"54","Kittitas","Damman School District",3,38,0.07895,12.66667,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"55","Snohomish","Darrington School District",25,400,0.0625,16,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"56","Lincoln","Davenport School District",36,529,0.06805,14.69444,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"57","Columbia","Dayton School District",33,391,0.0844,11.84848,13,53013,7,1513273,1513273,53013,"0500000US53013",10.42424
"58","Spokane","Deer Park School District",148,2519,0.05875,17.02027,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"59","Pierce","Dieringer School District",88,1327,0.06631,15.07955,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"60","Walla Walla","Dixie School District",2,30,0.06667,15,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"61","Spokane","East Valley School District (Spokane)",262,3571,0.07337,13.62977,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"62","Yakima","East Valley School District (Yakima)",224,3152,0.07107,14.07143,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"63","Douglas","Eastmont School District",348,6011,0.05789,17.27299,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"64","Kittitas","Easton School District",23,88,0.26136,3.82609,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"65","Pierce","Eatonville School District",152,1824,0.08333,12,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"66","Snohomish","Edmonds School District",1403,20470,0.06854,14.59016,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"67","Kittitas","Ellensburg School District",207,3168,0.06534,15.30435,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"68","Grays Harbor","Elma School District",94,1522,0.06176,16.19149,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"69","Whitman","Endicott School District",14,87,0.16092,6.21429,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"70","Chelan","Entiat School District",24,317,0.07571,13.20833,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"71","King","Enumclaw School District",254,4073,0.06236,16.03543,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"72","Grant","Ephrata School District",149,2443,0.06099,16.39597,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"73","Lewis","Evaline School District",5,51,0.09804,10.2,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"74","Snohomish","Everett School District",1196,20022,0.05973,16.7408,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"75","Clark","Evergreen School District (Clark)",1623,23593,0.06879,14.53666,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"76","Stevens","Evergreen School District (Stevens)",3,32,0.09375,10.66667,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"77","King","Federal Way School District",1325,21451,0.06177,16.18943,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"78","Whatcom","Ferndale School District",284,4267,0.06656,15.02465,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"79","Pierce","Fife School District",225,3675,0.06122,16.33333,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"80","Benton","Finley School District",55,877,0.06271,15.94545,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"81","Pierce","Franklin Pierce School District",474,7517,0.06306,15.85865,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"82","Spokane","Freeman School District",55,855,0.06433,15.54545,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"83","Whitman","Garfield School District",22,99,0.22222,4.5,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"84","Klickitat","Glenwood School District",11,54,0.2037,4.90909,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"85","Klickitat","Goldendale School District",166,2207,0.07522,13.29518,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"86","Grant","Grand Coulee Dam School District",44,713,0.06171,16.20455,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"87","Yakima","Grandview School District",207,3567,0.05803,17.23188,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"88","Yakima","Granger School District",90,1432,0.06285,15.91111,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"89","Snohomish","Granite Falls School District",137,2016,0.06796,14.71533,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"90","Mason","Grapeview School District",14,199,0.07035,14.21429,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"91","Spokane","Great Northern School District",6,38,0.15789,6.33333,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"92","Clark","Green Mountain School District",12,150,0.08,12.5,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"93","Thurston","Griffin School District",40,617,0.06483,15.425,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"94","Lincoln","Harrington School District",14,126,0.11111,9,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"95","Yakima","Highland School District",73,1077,0.06778,14.75342,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"96","King","Highline School District",1177,18441,0.06383,15.6678,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"97","Clark","Hockinson School District",128,1868,0.06852,14.59375,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"98","Mason","Hood Canal School District",27,301,0.0897,11.14815,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"99","Grays Harbor","Hoquiam School District",94,1530,0.06144,16.2766,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"100","Ferry","Inchelium School District",21,227,0.09251,10.80952,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"101","Snohomish","Index Elementary School District 63",4,27,0.14815,6.75,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"102","King","Issaquah School District",1344,20204,0.06652,15.03274,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"103","Franklin","Kahlotus School District",11,35,0.31429,3.18182,21,53021,11,1531822,1531822,53021,"0500000US53021",10.4664875
"104","Cowlitz","Kalama School District",65,1021,0.06366,15.70769,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"105","Ferry","Keller School District",3,36,0.08333,12,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"106","Cowlitz","Kelso School District",313,4762,0.06573,15.21406,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"107","Benton","Kennewick School District",1161,18066,0.06426,15.56072,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"108","King","Kent School District",1599,25299,0.0632,15.82176,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"109","Stevens","Kettle Falls School District",61,1104,0.05525,18.09836,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"110","Benton","Kiona-Benton City School District",80,1354,0.05908,16.925,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"111","Kittitas","Kittitas School District",46,637,0.07221,13.84783,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"112","Klickitat","Klickitat School District",12,73,0.16438,6.08333,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"113","Clark","La Center School District",109,1559,0.06992,14.30275,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"114","Skagit","La Conner School District",47,619,0.07593,13.17021,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"115","Whitman","LaCrosse School District",14,80,0.175,5.71429,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"116","Chelan","Lake Chelan School District",88,1269,0.06935,14.42045,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"117","Snohomish","Lake Stevens School District",539,9103,0.05921,16.88868,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"118","King","Lake Washington School District",1984,31143,0.06371,15.69708,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"119","Snohomish","Lakewood School District",151,2487,0.06072,16.4702,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"120","Whitman","Lamont School District",5,41,0.12195,8.2,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"121","Spokane","Liberty School District",35,546,0.0641,15.6,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"122","Adams","Lind School District",34,188,0.18085,5.52941,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"123","Cowlitz","Longview School District",394,6186,0.06369,15.70051,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"124","Stevens","Loon Lake School District",13,268,0.04851,20.61538,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"125","San Juan","Lopez School District",24,236,0.10169,9.83333,55,53055,28,1531931,1531931,53055,"0500000US53055",9.26436
"126","Klickitat","Lyle School District",17,201,0.08458,11.82353,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"127","Whatcom","Lynden School District",217,3194,0.06794,14.71889,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"128","Yakima","Mabton School District",51,819,0.06227,16.05882,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"129","Douglas","Mansfield School District",12,89,0.13483,7.41667,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"130","Chelan","Manson School District",46,623,0.07384,13.54348,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"131","Mason","Mary M Knight School District",117,2211,0.05292,18.89744,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"132","Stevens","Mary Walker School District",23,419,0.05489,18.21739,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"133","Snohomish","Marysville School District",649,9985,0.065,15.38521,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"134","Grays Harbor","McCleary School District",24,288,0.08333,12,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"135","Spokane","Mead School District",605,10179,0.05944,16.82479,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"136","Spokane","Medical Lake School District",145,1769,0.08197,12.2,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"137","King","Mercer Island School District",348,4189,0.08307,12.03736,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"138","Whatcom","Meridian School District",112,1826,0.06134,16.30357,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"139","Okanogan","Methow Valley School District",54,693,0.07792,12.83333,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"140","Skamania","Mill A School District",12,62,0.19355,5.16667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"141","Snohomish","Monroe School District",332,6195,0.05359,18.65964,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"142","Lewis","Morton School District",24,318,0.07547,13.25,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"143","Grays Harbor","Montesano School District",82,1406,0.05832,17.14634,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"144","Grant","Moses Lake School District",496,8133,0.06099,16.39718,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"145","Lewis","Mossyrock School District",40,542,0.0738,13.55,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"146","Yakima","Mount Adams School District",55,845,0.06509,15.36364,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"147","Whatcom","Mount Baker School District",126,1721,0.07321,13.65873,73,53073,37,1529224,1529224,53073,"0500000US53073",14.5090128571429
"148","Skamania","Mount Pleasant School District",6,67,0.08955,11.16667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"149","Skagit","Mount Vernon School District",482,6735,0.07157,13.97303,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"150","Snohomish","Mukilteo School District",1035,15123,0.06844,14.61159,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"151","Yakima","Naches Valley School District",83,1221,0.06798,14.71084,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"152","Lewis","Napavine School District",58,786,0.07379,13.55172,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"153","Pacific","Naselle-Grays River Valley School District",37,363,0.10193,9.81081,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"154","Okanogan","Nespelem School District",10,134,0.07463,13.4,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
